,Element,Year,Value,Country,PopTotal,ValuePerCapita
0,Export Quantity,2014,44,Australia,23596.426,0.001864689169453035
1,Food supply,2014,229151,Australia,23596.426,9.711258815212101
2,Loss,2014,5093,Australia,23596.426,0.2158377713641888
3,Processed,2014,20369,Australia,23596.426,0.8632239475588379
4,Residuals,2014,0,Australia,23596.426,0.0
5,Export Quantity,2014,20944,Austria,8615.205,2.43105068306558
6,Food supply,2014,96104,Austria,8615.205,11.15516113661834
7,Loss,2014,6160,Austria,8615.205,0.7150149067839942
8,Residuals,2014,0,Austria,8615.205,0.0
9,Export Quantity,2014,75,Bangladesh,154517.385,0.0004853822759167196
10,Food supply,2014,693124,Bangladesh,154517.385,4.485734728166672
11,Loss,2014,77022,Bangladesh,154517.385,0.4984681820754344
12,Residuals,2014,0,Bangladesh,154517.385,0.0
13,Export Quantity,2014,557,Belarus,9431.742,0.05905589868764434
14,Food supply,2014,64563,Belarus,9431.742,6.845289025081475
15,Loss,2014,1329,Belarus,9431.742,0.14090716221881386
16,Residuals,2014,0,Belarus,9431.742,0.0
17,Export Quantity,2014,1284293,Belgium,11221.225,114.45212086915645
18,Food supply,2014,36319,Belgium,11221.225,3.2366341464501422
19,Processed,2014,0,Belgium,11221.225,0.0
20,Residuals,2014,0,Belgium,11221.225,0.0
21,Export Quantity,2014,102786,Belize,353.366,290.8768811940028
22,Food supply,2014,0,Belize,353.366,0.0
23,Loss,2014,1099,Belize,353.366,3.110089821884392
24,Residuals,2014,-1353,Belize,353.366,-3.8288912911825133
25,Tourist consumption,2014,190,Belize,353.366,0.5376861384513507
26,Export Quantity,2014,111103,Bolivia (Plurinational State of),10706.517,10.377137588255826
27,Feed,2014,35092,Bolivia (Plurinational State of),10706.517,3.277629877204697
28,Food supply,2014,94619,Bolivia (Plurinational State of),10706.517,8.837514571732338
29,Loss,2014,42497,Bolivia (Plurinational State of),10706.517,3.969264701116152
30,Residuals,2014,0,Bolivia (Plurinational State of),10706.517,0.0
31,Export Quantity,2014,0,Botswana,2088.619,0.0
32,Food supply,2014,1518,Botswana,2088.619,0.7267960312531868
33,Residuals,2014,0,Botswana,2088.619,0.0
34,Tourist consumption,2014,9,Botswana,2088.619,0.004309067378971463
35,Export Quantity,2014,83462,Brazil,202763.74399999998,0.4116219120514958
36,Food supply,2014,5827229,Brazil,202763.74399999998,28.73900868589209
37,Loss,2014,1043063,Brazil,202763.74399999998,5.144228348831437
38,Processed,2014,0,Brazil,202763.74399999998,0.0
39,Residuals,2014,0,Brazil,202763.74399999998,0.0
40,Export Quantity,2014,6683,Bulgaria,7245.648,0.922346765948332
41,Food supply,2014,29811,Bulgaria,7245.648,4.114331803035422
42,Loss,2014,1921,Bulgaria,7245.648,0.26512466517832495
43,Processed,2014,0,Bulgaria,7245.648,0.0
44,Residuals,2014,0,Bulgaria,7245.648,0.0
45,Export Quantity,2014,22,Burkina Faso,17586.029,0.001250993046810056
46,Food supply,2014,5892,Burkina Faso,17586.029,0.33503868326385683
47,Residuals,2014,0,Burkina Faso,17586.029,0.0
48,Export Quantity,2014,265270,Cameroon,22681.853,11.695252588049133
49,Food supply,2014,691958,Cameroon,22681.853,30.50711950209712
50,Loss,2014,89413,Cameroon,22681.853,3.942050060901109
51,Other uses (non-food),2014,20995,Cameroon,22681.853,0.9256298416183193
52,Residuals,2014,0,Cameroon,22681.853,0.0
53,Export Quantity,2014,41,Canada,35664.337999999996,0.001149607767849217
54,Food supply,2014,544057,Canada,35664.337999999996,15.25493056957906
55,Loss,2014,11104,Canada,35664.337999999996,0.31134743059018793
56,Residuals,2014,0,Canada,35664.337999999996,0.0
57,Export Quantity,2014,40,Central African Republic,4464.170999999999,0.008960230242076301
58,Food supply,2014,61488,Central African Republic,4464.170999999999,13.77366592811969
59,Loss,2014,0,Central African Republic,4464.170999999999,0.0
60,Residuals,2014,0,Central African Republic,4464.170999999999,0.0
61,Export Quantity,2014,8,Chile,17758.968999999997,0.000450476601428833
62,Food supply,2014,164774,Chile,17758.968999999997,9.278353940479317
63,Loss,2014,10518,Chile,17758.968999999997,0.5922641117285582
64,Residuals,2014,0,Chile,17758.968999999997,0.0
65,Export Quantity,2014,12241,"China, Hong Kong SAR",7134.668000000001,1.7157070237886332
66,Food supply,2014,49553,"China, Hong Kong SAR",7134.668000000001,6.9453827424065135
67,Loss,2014,6261,"China, Hong Kong SAR",7134.668000000001,0.8775460890401627
68,Other uses (non-food),2014,0,"China, Hong Kong SAR",7134.668000000001,0.0
69,Residuals,2014,0,"China, Hong Kong SAR",7134.668000000001,0.0
70,Tourist consumption,2014,1516,"China, Hong Kong SAR",7134.668000000001,0.2124836082071373
