Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","64105","F","FAO estimate"
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","142516","F","FAO estimate"
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","29730","F","FAO estimate"
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","132929","F","FAO estimate"
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","143248","F","FAO estimate"
"SCL","Supply Utilization Accounts","3","Albania","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","15234","F","FAO estimate"
"SCL","Supply Utilization Accounts","3","Albania","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","18086","F","FAO estimate"
"SCL","Supply Utilization Accounts","3","Albania","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","20369","F","FAO estimate"
"SCL","Supply Utilization Accounts","3","Albania","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","11425","F","FAO estimate"
"SCL","Supply Utilization Accounts","3","Albania","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","18555","F","FAO estimate"
"SCL","Supply Utilization Accounts","4","Algeria","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","237270","F","FAO estimate"
"SCL","Supply Utilization Accounts","4","Algeria","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","221378","F","FAO estimate"
"SCL","Supply Utilization Accounts","4","Algeria","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","177430","F","FAO estimate"
"SCL","Supply Utilization Accounts","4","Algeria","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","86570","F","FAO estimate"
"SCL","Supply Utilization Accounts","4","Algeria","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","54504","F","FAO estimate"
"SCL","Supply Utilization Accounts","7","Angola","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","1045034","F","FAO estimate"
"SCL","Supply Utilization Accounts","7","Angola","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","1078597","F","FAO estimate"
"SCL","Supply Utilization Accounts","7","Angola","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","1088956","F","FAO estimate"
"SCL","Supply Utilization Accounts","7","Angola","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","1139075","F","FAO estimate"
"SCL","Supply Utilization Accounts","7","Angola","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","1148488","F","FAO estimate"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","855","F","FAO estimate"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","1172","F","FAO estimate"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","1574","F","FAO estimate"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","1856","F","FAO estimate"
"SCL","Supply Utilization Accounts","8","Antigua and Barbuda","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","1671","F","FAO estimate"
"SCL","Supply Utilization Accounts","9","Argentina","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","545136","F","FAO estimate"
"SCL","Supply Utilization Accounts","9","Argentina","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","559719","F","FAO estimate"
"SCL","Supply Utilization Accounts","9","Argentina","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","565520","F","FAO estimate"
"SCL","Supply Utilization Accounts","9","Argentina","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","616206","F","FAO estimate"
"SCL","Supply Utilization Accounts","9","Argentina","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","580377","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","4357","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","10718","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","11258","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","12096","F","FAO estimate"
"SCL","Supply Utilization Accounts","1","Armenia","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","22469","F","FAO estimate"
"SCL","Supply Utilization Accounts","10","Australia","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","229151","F","FAO estimate"
"SCL","Supply Utilization Accounts","10","Australia","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","227026","F","FAO estimate"
"SCL","Supply Utilization Accounts","10","Australia","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","319006","F","FAO estimate"
"SCL","Supply Utilization Accounts","10","Australia","5141","Food supply quantity (tonnes)","01312","Bananas","2017","2017","tonnes","371708","F","FAO estimate"
"SCL","Supply Utilization Accounts","10","Australia","5141","Food supply quantity (tonnes)","01312","Bananas","2018","2018","tonnes","336514","F","FAO estimate"
"SCL","Supply Utilization Accounts","11","Austria","5141","Food supply quantity (tonnes)","01312","Bananas","2014","2014","tonnes","96104","F","FAO estimate"
"SCL","Supply Utilization Accounts","11","Austria","5141","Food supply quantity (tonnes)","01312","Bananas","2015","2015","tonnes","100085","F","FAO estimate"
"SCL","Supply Utilization Accounts","11","Austria","5141","Food supply quantity (tonnes)","01312","Bananas","2016","2016","tonnes","103257","F","FAO estimate"
